datetime_execution,seconds_taken,number_of_tables_extracted
2023-08-22 23:30:05,0.34420299530029297,2
2023-08-22 23:30:06,0.7848749160766602,181
2023-08-22 23:30:07,0.8362469673156738,181
2023-08-22 23:30:07,0.0455629825592041,2
2023-08-22 23:30:07,0.713763952255249,30
2023-08-22 23:30:08,0.5063068866729736,107
2023-08-22 23:30:09,0.6208250522613525,137
2023-08-22 23:30:09,0.5169458389282227,108
2023-08-22 23:30:11,1.456676959991455,313
2023-08-22 23:30:11,0.27855992317199707,2
2023-08-22 23:30:11,0.537729024887085,23
2023-08-22 23:30:11,0.040029048919677734,2
2023-08-22 23:30:12,1.0142970085144043,212
2023-08-22 23:30:13,0.21401119232177734,23
2023-08-22 23:30:13,0.037568092346191406,1
