datetime_execution,seconds_taken,number_of_tables_extracted
2023-08-22 23:33:39,0.27046775817871094,2
2023-08-22 23:33:40,0.7303512096405029,181
2023-08-22 23:33:41,0.7764642238616943,181
2023-08-22 23:33:41,0.04560399055480957,2
2023-08-22 23:33:42,0.7078540325164795,30
2023-08-22 23:33:42,0.5074360370635986,107
2023-08-22 23:33:43,0.6325459480285645,137
2023-08-22 23:33:43,0.48906898498535156,108
2023-08-22 23:33:45,1.4768497943878174,313
2023-08-22 23:33:45,0.27710890769958496,2
2023-08-22 23:33:46,0.5191888809204102,23
2023-08-22 23:33:46,0.03366398811340332,2
2023-08-22 23:33:47,1.0009169578552246,212
2023-08-22 23:33:47,0.2044811248779297,23
2023-08-22 23:33:47,0.03294682502746582,1
