Unnamed: 0,Note,2023 £
Current assets,,
Debtors,4.0,15990
Cash at bank and in hand,,61526
,,77516
Creditors: Amounts falling due within one year,5.0,"(31,489)"
Net assets,,46027
Capital and reserves,,
Called up share capital,,100
Retained earnings,,45927
Shareholders' funds,,46027
